id,title,company,location,country,category,contract_type,contract_time,salary_min,salary_max,date_posted,description,role_category,search_query,url
de_5537798090,Senior Sales Manager,Channel Factory,"Düsseldorf, Nordrhein-Westfalen",Germany,Sonstige/Allgemeine Stellen,,full_time,,,2025-12-11,"Sales Manager, Germany Channel Factory provides intelligent marketing solutions for the next generation of contextual safety, suitability, and performance for brands and agencies. Our platform helps marketers implement, automate, and scale their marketing programs across the world’s largest video library, YouTube, and emerging growth channels. We sit at the intersection of marketing and suitability and have a mission of enabling the world’s top brands to consciously connect with the right audie…",AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/details/5537798090?utm_medium=api&utm_source=c5693b3d
de_5713877325,AI Product Manager,Air Apps,"München, München (Kreis)",Germany,Unknown,,full_time,58000.0,73000.0,2026-04-29,"About Air Apps At Air Apps, we believe in thinking bigger—and moving faster. We’re a family-founded company on a mission to create the world’s first AI-powered Personal & Entrepreneurial Resource Planner (PRP), and we need your passion and ambition to help us change how people plan, work, and live. Born in Lisbon, Portugal in 2018—and now with offices in both Lisbon and San Francisco—we’ve remained self-funded while reaching over 100 million downloads worldwide. Our long-term focus drives us to…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5713877325?utm_medium=api&utm_source=c5693b3d
de_5702941937,"AI Product Manager, Berlin",Air Apps,Deutschland,Germany,Unknown,,full_time,58000.0,73000.0,2026-04-17,"About Air Apps At Air Apps, we believe in thinking bigger—and moving faster. We’re a family-founded company on a mission to create the world’s first AI-powered Personal & Entrepreneurial Resource Planner (PRP), and we need your passion and ambition to help us change how people plan, work, and live. Born in Lisbon, Portugal in 2018—and now with offices in both Lisbon and San Francisco—we’ve remained self-funded while reaching over 100 million downloads worldwide. Our long-term focus drives us to…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5702941937?utm_medium=api&utm_source=c5693b3d
de_5542314749,Staff AI Product Manager,Intercom,"Berlin, Deutschland",Germany,IT-Stellen,,full_time,,,2025-12-14,"Intercom is the AI Customer Service company on a mission to help businesses provide incredible customer experiences. Our AI agent Fin, the most advanced customer service AI agent on the market, lets businesses deliver always-on, impeccable customer service and ultimately transform their customer experiences for the better. Fin can also be combined with our Helpdesk to become a complete solution called the Intercom Customer Service Suite, which provides AI enhanced support for the more complex o…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5542314749?utm_medium=api&utm_source=c5693b3d
de_5714850842,AI Product Manager - HIS,Dedalus Group,Deutschland,Germany,Unknown,,full_time,,,2026-04-30,"Do you want a job with a purpose? And do you want to make healthcare safer, better and more reliable? Join our Team! Join us as a AI P roduct Manager HIS at Dedalus, one of the World’s leading healthcare technology companies, based ideally in Germany or remotely in any of our European locations to do the best work of your career and make a profound impact in providing better care for a healthier planet. What you’ll achieve As the Product Manager , with deep healthcare and AI expertise, you will…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5714850842?utm_medium=api&utm_source=c5693b3d
de_5722150278,Senior AI Product Manager,Nelly Solutions,"Berlin, Deutschland",Germany,IT-Stellen,,full_time,,,2026-05-07,"We’re looking for a highly ambitious product person to own Nelly’s Billing Agent – our core AI product that automates consultation documentation and billing for German practices and directly drives practice automation & revenue. This role is for a top-tier, high-agency PM who wants full ownership: from user discovery in the practice to AI design, launch, and commercial impact. About Nelly At Nelly, we’re revolutionizing medical practice management with AI-driven automation and seamless digital …",AI_PM,AI Product Manager,https://www.adzuna.de/details/5722150278?utm_medium=api&utm_source=c5693b3d
de_5721946691,AI Product Manager (m/f/x),Cortea AI,"Berlin, Deutschland",Germany,IT-Stellen,,full_time,60000.0,90000.0,2026-05-07,"About us We’re Cortea, a Berlin-based startup rebuilding how audits are done. Audits are still driven by spreadsheets, checklists, and manual reviews in one of the most regulated, high-stakes areas of business. We build AI tools for auditors, so highly educated auditors no longer spend 60 hour weeks on manual work and can focus on judgment, trust, and choices that matter. With €10m in funding, a live product, and paying customers across Europe, we’re at a stage where your choices will directly …",AI_PM,AI Product Manager,https://www.adzuna.de/details/5721946691?utm_medium=api&utm_source=c5693b3d
de_5682081567,AI Product Manager (w/m/x),FAST LTA GmbH,"Laim, München",Germany,Unknown,,full_time,,,2026-03-29,"Kurzinfo KLINGT DAS NACH DIR? Du hast echte Leidenschaft für KI und den nötigen Ehrgeiz unser Produkt bei namhaften B2B-Kunden zu platzieren? Bei FAST LTA / Silent AI verantwortest du die Einführung unserer vollständig On‑Prem laufenden KI‑Plattform: von der Projektidee bis zum Go‑Live. Kurze Entscheidungswege, viel Ownership, sichtbarer Impact. WER WIR SIND? FAST LTA ist deutscher Technologieführer für Zero‑Loss‑Storage und Off‑Cloud‑Appliances. Mit Silent AI bringen wir eine komplett lokale K…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5682081567?utm_medium=api&utm_source=c5693b3d
de_5604774820,Principal AI Product Manager (External Platforms & Client Solutions),CloudFactory,"Berlin, Deutschland",Germany,Sonstige/Allgemeine Stellen,,full_time,,,2026-01-29,"At CloudFactory, we are a mission-driven team passionate about unlocking the potential of AI to transform the world. By combining advanced technology with a global network of talented people, we make unusable data usable, driving real-world impact at scale. More than just a workplace, we’re a global community founded on strong relationships and the belief that meaningful work transforms lives. Our commitment to earning, learning, and serving fuels everything we do as we strive to connect one mi…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5604774820?utm_medium=api&utm_source=c5693b3d
de_5635177252,Senior AI Product Manager - B2B SaaS (Martech) - Europe,Insider One,Deutschland,Germany,IT-Stellen,,full_time,,,2026-02-18,"Before jumping into all the information about the role and what you can bring to the table, let us introduce ourselves real quick. About us Insider One is the 1 platform that brings everything marketing and customer engagement teams need in one place so they can reach their peak potential and become unstoppable. Our story began with six desks and a vision to create a single platform to make industry-first technologies and emerging channels accessible to marketers worldwide. Today, Insider One i…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5635177252?utm_medium=api&utm_source=c5693b3d
de_5718870747,Product Manager (AI empowered product environment),Trimble,Deutschland,Germany,Unknown,,full_time,,,2026-05-04,"We are looking for a visionary Product Manager to bridge the gap between complex logistical challenges and SaaS solutions in the area of Freight Marketplace, empowering global businesses to move goods more efficiently than ever before. This is your chance to own the roadmap for high-impact features, collaborating with elite engineering teams to redefine how the transportation industry operates in a digital-first world. You can read more about our Freight Marketplace products here: https://www.t…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5718870747?utm_medium=api&utm_source=c5693b3d
de_5712963561,Sr. Tech AI/ML Product Manager - Job Hunt Engine,Jobhire,Deutschland,Germany,Sonstige/Allgemeine Stellen,,full_time,80.0,120.0,2026-04-28,"About JobHire.AI JobHire.AI is building a vertical AI agent that automates job search for professionals. We help thousands of users land interviews by finding, tailoring, and applying to jobs on their behalf — at scale and with precision. We’re profitable, growing fast, and now entering a phase of deep product refinement and organic growth through exceptional UX and perceived value.  ~35% MoM; top 1% in growth rate  Profitable from day one  40 people  Investors: Deel Ventures, Daniel Gutenberg,…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5712963561?utm_medium=api&utm_source=c5693b3d
de_5720742299,Senior Product Manager - AI Products (d/f/m),Aignostics,"Tiergarten, Berlin",Germany,Unknown,,,,,2026-05-06,"Why us Aignostics is a spin-off from one of Europe’s largest and most prestigious university hospitals (Charité), with employees in Berlin and New York. We have received over $55M in funding from leading investors and are a growing team of over 120 interdisciplinary professionals. We work with leading global life sciences companies as well as academic partners. We believe that AI has the potential to revolutionize how cancer and other complex diseases are diagnosed and treated. Without access t…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5720742299?utm_medium=api&utm_source=c5693b3d
de_5718876825,Product Manager AI Products (European Innovation Programs) (f/m/d),SAP,"Berlin, Deutschland",Germany,Unknown,,,,,2026-05-04,"We help the world run better At SAP, we keep it simple: you bring your best to us, and we'll bring out the best in you. We're builders touching over 20 industries and 80% of global commerce, and we need your unique talents to help shape what's next. The work is challenging – but it matters. You'll find a place where you can be yourself, prioritize your wellbeing, and truly belong. What's in it for you? Constant learning, skill growth, great benefits, and a team that wants you to grow and succee…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5718876825?utm_medium=api&utm_source=c5693b3d
de_5720146637,Product Manager AI Products (European Innovation Programs) (f/m/d),SAP,"Berlin, Deutschland",Germany,Unknown,,,,,2026-05-06,"We help the world run better At SAP, we keep it simple: you bring your best to us, and we'll bring out the best in you. We're builders touching over 20 industries and 80% of global commerce, and we need your unique talents to help shape what's next. The work is challenging - but it matters. You'll find a place where you can be yourself, prioritize your wellbeing, and truly belong. What's in it for you? Constant learning, skill growth, great benefits, and a team that wants you to grow and succee…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5720146637?utm_medium=api&utm_source=c5693b3d
de_5721214144,Product Manager AI Products (European Innovation Programs) (f/m/d),SAP,"Berlin, Deutschland",Germany,Unknown,,,,,2026-05-07,"We help the world run better At SAP, we keep it simple: you bring your best to us, and we'll bring out the best in you. We're builders touching over 20 industries and 80% of global commerce, and we need your unique talents to help shape what's next. The work is challenging u2013 but it matters. You'll find a place where you can be yourself, prioritize your wellbeing, and truly belong. What's in it for you? Constant learning, skill growth, great benefits, and a team that wants you to grow and su…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5721214144?utm_medium=api&utm_source=c5693b3d
de_5600292528,(Senior)Product Manager - AI Infrastructure,SpiNNcloud Systems,"Dresden, Sachsen",Germany,IT-Stellen,,full_time,,,2026-01-25,"The Role We are hiring a Product Manager or Senior Product Manager to own the end-to-end lifecycle of our AI inference product direction. This includes market discovery and competitive intelligence, requirements definition, roadmap execution, and go-to-market readiness. You will partner closely with Engineering and Research and collaborate with Marketing and Sales to translate technical differentiation into clear product narratives and measurable customer value. Key Responsibilities Market rese…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5600292528?utm_medium=api&utm_source=c5693b3d
de_5716225812,Senior Product Manager (AI Analytics),JetBrains,Deutschland,Germany,"Stellen aus PR, Werbung & Marketing",,,,,2026-05-01,"At JetBrains, we’re building an AI-native platform for software development that connects developer workflows, team collaboration, and organizational control into a single coherent system. This platform serves as the execution and governance layer for AI-driven development and is deeply integrated with JetBrains tools and designed to work across teams, products, and environments. As part of this vision, we’re building AI governance capabilities into JetBrains Console that help organizations man…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5716225812?utm_medium=api&utm_source=c5693b3d
de_5669967147,Technical Product Manager - AI Cloud Network,Nebius,Deutschland,Germany,IT-Stellen,,,,,2026-03-17,"Why work at Nebius Nebius is leading a new era in cloud computing to serve the global AI economy. We create the tools and resources our customers need to solve real-world challenges and transform industries, without massive infrastructure costs or the need to build large in-house AI/ML teams. Our employees work at the cutting edge of AI cloud infrastructure alongside some of the most experienced and innovative leaders and engineers in the field. Where we work Headquartered in Amsterdam and list…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5669967147?utm_medium=api&utm_source=c5693b3d
de_5719074067,Product Manager - AI Platform (m/f/x),Scalable GmbH,"München, München (Kreis)",Germany,Unknown,,,,,2026-05-05,"Job Description As a Product Manager for the AI Platform, you will play a foundational role in defining, scaling, and operationalizing Artificial Intelligence capabilities across the entire Scalable organization. You will lead the strategy to move from siloed AI solutions to a unified, compliant, and robust internal ""AI as a Platform"" offering. You will work closely with a dedicated cross-functional team of Data Scientists, AI Engineers and Software Engineers, acting as the key bridge between t…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5719074067?utm_medium=api&utm_source=c5693b3d
de_5719074069,Product Manager - AI Platform (m/f/x),Scalable GmbH,"Berlin, Deutschland",Germany,Unknown,,,,,2026-05-05,"Job Description As a Product Manager for the AI Platform, you will play a foundational role in defining, scaling, and operationalizing Artificial Intelligence capabilities across the entire Scalable organization. You will lead the strategy to move from siloed AI solutions to a unified, compliant, and robust internal ""AI as a Platform"" offering. You will work closely with a dedicated cross-functional team of Data Scientists, AI Engineers and Software Engineers, acting as the key bridge between t…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5719074069?utm_medium=api&utm_source=c5693b3d
de_5646626550,Senior Product Manager (Agentic AI),Conxai Technologies GmbH,"Moosach, München",Germany,Unknown,,full_time,,,2026-02-26,"About CONXAI CONXAI has built a no-code, agentic AI platform for the AEC and physical industries, focused on knowledge-automation . We automate high-stakes, knowledge-intensive workflows traditionally trapped in siloed data, fragmented tools and tacit (undocumented) human expertise. Our multi-agent systems perform complex reasoning in the physical world; and transform bespoke, service-heavy processes into scalable Service-as-a-Software automation. CONXAI is trusted by some of the leading AEC co…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5646626550?utm_medium=api&utm_source=c5693b3d
de_5628375474,Senior Product Manager (EdTech & AI),Constructor TECH,Deutschland,Germany,Lehrberufe,,,,,2026-02-13,"Our mission Constructor’s mission is to enable all educational organisations to provide high-quality digital education to 10x people with 10x efficiency. With strong expertise in machine intelligence and data science, Constructor’s all-in-one platform for education and research addresses today’s pressing educational challenges: access inequality, tech clutter, and low engagement of students. Please send your resume in English only. Duties and Responsibilities: Strategic Roadmap Ownership: Defin…",AI_PM,AI Product Manager,https://www.adzuna.de/details/5628375474?utm_medium=api&utm_source=c5693b3d
